product_line,product_family,model_num,region,plant,order_type,month date,qty_actual,average selling price(M),total_est_actual_trade_values(M)
XA,Advanteon-CE IVD,2010260CE,EMEA,B410,Trade Orders,2021-08-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010260CE,EMEA,B410,Trade Orders,2022-08-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010261CE,APAC,SG10,Trade Orders,2025-10-01,1,0.0,0.0
XA,Advanteon-CE IVD,2010261CE,EMEA,B410,Trade Orders,2022-11-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010261CE,EMEA,B410,Trade Orders,2024-02-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010261CE,EMEA,B410,Trade Orders,2024-03-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010261CE,EMEA,B410,Trade Orders,2024-10-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010261CE,EMEA,B410,Trade Orders,2026-04-01,1,0.086631773,0.086631773
XA,Advanteon-CE IVD,2010263CE,EMEA,B410,Trade Orders,2023-03-01,1,0.086631773,0.086631773
XA,Advanteon-IVD,K2602-64000,GCFO,R805,ZC1,2024-08-01,2,0.077606975,
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2022-10-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2022-11-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2023-01-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2023-07-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2023-09-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2023-10-01,2,0.077606975,0.15521395
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2024-02-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2024-03-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2024-06-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2024-11-01,2,0.077606975,0.15521395
XA,Advanteon-IVD,K2602-64000,GCFO,R805,Trade Orders,2025-04-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,ZSD1,2025-08-01,1,0.077606975,
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2022-11-01,4,0.077606975,0.310427899
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-02-01,4,0.077606975,0.310427899
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-03-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-04-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-05-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-06-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-07-01,1,0.077606975,0.077606975
XA,Advanteon-IVD,K2602-64001,GCFO,R805,Trade Orders,2023-08-01,2,0.077606975,0.15521395
